lakecode,ManuscriptName,lake,latitude,longitude,continent,country,elevation,surface_area,mean_depth,max_depth,shoreline,contributor,alternate_lakenames,surface_area_source,mean_depth_source,max_depth_source,shoreline_source,elevation_google
GAH27,Umbagog Lake,umbagog,44.8014,-71.0283,North America,United States of America,379,31,4,15,14,Julia Daly,Umbagog Lake,LSM,LSM,LAKEPEDIA,LSM,408.2
GAH28,West Grand Lake,west_grand,45.2156,-67.8144,North America,United States of America,91,59,12,39,79,Julia Daly,West Grand Lake,LSM,LSM,LAKEPEDIA,LSM,106.6
GAH29,Lake Winnipesaukee,winnipesaukee,43.603,-71.362,North America,United States of America,154,179,13,55,463,Julia Daly,Winnipesaukee,NHDES,NHDES,NHDES,NHDES,156.7
GAH3,China Lake,china,44.4339,-69.5456,North America,United States of America,59,16,9,26,49,Julia Daly,China Lake,LSM,LSM,LAKEPEDIA,LSM,80.9
GAH4,Cobbosseecontee Lake,cobbossee,44.2717,-69.9294,North America,United States of America,51,22,11,31,99,Julia Daly,Cobbosseecontee Lake;Cobbossee Lake,LSM,LSM,LSM,LSM,88.7
GAH5,Damariscotta Lake,damariscotta,44.1825,-69.4792,North America,United States of America,15,19,35,9,70.3,Julia Daly,Damariscotta Lake,LIAG,LSM,LIAG,LIAG,64.6
GAH9,Houghton’s Pond,houghtons_pond,42.2072,-71.0964,North America,United States of America,50,0.1,NA,13,1.8,Julia Daly,Houghtons (Hoosicwhisick) Pond,LAKEPEDIA,,LAKEPEDIA,MA DOC,42.3
GW202,Lake Runn,runn,60.46887821,15.59264793,Europe,Sweden,106.8,64.7024,8.3,29.5,NA,Gesa Weyhenmeyer,RUNN,LIAG,LIAG,LIAG,,108.3
GW240,Lakes Orsasjön,orsasjon,61.072,14.548,Europe,Sweden,159.9,52.827,17.3,92.2,NA,Gesa Weyhenmeyer,ORSASJÃ–N,LIAG,LIAG,LIAG,,164.8
GW341,Lake Näckten,nackten,62.91277456,14.57243073,Europe,Sweden,323.95,84.2389,15.5,44,NA,Gesa Weyhenmeyer,NÃ„CKTEN,LIAG,LIAG,LIAG,,324.4
GW369,Lake Kallsjön,kallsjon,63.568,12.977,Europe,Sweden,380.525,156.3551,40.1,102.825,NA,Gesa Weyhenmeyer,KALLSJÃ–N,LIAG,LIAG,LIAG,,420.3
GW484,Lake Skoruman,storuman,65.262,16.71,Europe,Sweden,350.125,163.47221,25.6,128.75,NA,Gesa Weyhenmeyer,STORUMAN,LIAG,LIAG,LIAG,,395.6
GW512,Lake Gouta,gouta,65.60290617,15.52196705,Europe,Sweden,438.63333,31.5935,17.2,58,NA,Gesa Weyhenmeyer,GÃ–UTA,LIAG,LIAG,LIAG,,614.3
GW592,Lake Jukkasjärvi,jukkasjarvi,67.79864283,20.81051561,Europe,Sweden,322.35,13.50505,NA,NA,NA,Gesa Weyhenmeyer,JUKKASJÃ„RVI,LIAG,LIAG,,,376.6
